"key","english","translation","notes"
"friendCompare.cheer","Cheer","",""
"friendCompare.cheered","Cheered!","",""
"friendCompare.nudge","Nudge","",""
"friendCompare.nudged","Nudged!","",""
"friendCompare.leader","CURRENT LEADER","",""
"friendCompare.youWin","You're winning!","",""
"friendCompare.theyLead","{{name}} is ahead!","","Keep {{…}} placeholders unchanged"
"friendCompare.keepUp","Keep up your daily routine to stay ahead of {{name}}.","","Keep {{…}} placeholders unchanged"
"friendCompare.streak","{{count}} Day Streak","","Keep {{…}} placeholders unchanged"
"friendCompare.viewStatsA11y","View all stats","",""
"friendCompare.viewStats","VIEW ALL STATS ›","",""
"mindfulness.breatheIn","Breathe in","",""
"mindfulness.hold","Hold","",""
"mindfulness.breatheOut","Breathe out","",""
"mindfulness.saveFailed","Could not save your session.","",""
"mindfulness.startFailed","Could not start the session.","",""
"mindfulness.endTitle","End session?","",""
"mindfulness.endText","Your progress in this session won’t be saved.","",""
"mindfulness.end","End","",""
"mindfulness.title","Mindfulness","",""
"mindfulness.othersNow_one","{{count}} other breathing with you now","","Keep {{…}} placeholders unchanged"
"mindfulness.othersNow_other","{{count}} others breathing with you now","","Keep {{…}} placeholders unchanged"
"mindfulness.joinedToday","{{count}} joined today","","Keep {{…}} placeholders unchanged"
"mindfulness.intro","A {{minutes}}-minute guided breathing session to reset before your routine. Follow the circle: breathe in as it grows, hold, and breathe out as it shrinks.","","Keep {{…}} placeholders unchanged"
"mindfulness.alreadyDone","You’ve already completed today’s session ✓","",""
"mindfulness.joinLiveA11y","Join live session","",""
"mindfulness.startA11y","Start session","",""
"mindfulness.joinLive","Join Live Session","",""
"mindfulness.start","Start Session","",""
"mindfulness.paused","Paused","",""
"mindfulness.resume","Resume","",""
"mindfulness.pause","Pause","",""
"mindfulness.endA11y","End session","",""
"mindfulness.complete","Session complete","",""
"mindfulness.pointsEarned","+{{count}} points earned. ","","Keep {{…}} placeholders unchanged"
"mindfulness.niceWork","Nice work taking a moment for yourself.","",""
"mindfulness.shareA11y","Share to Socials","",""
"mindfulness.share","Share to Socials","",""
"terms.s1.title","1. Accepting these terms","",""
"terms.s1.p1","By creating an account or using MyFace AI (""the app""), you agree to these Terms of Service. If you do not agree, please do not use the app.","",""
"terms.s1.p2","If you are under 18, you may use the app only with the permission of a parent or guardian, who agrees to these terms on your behalf. Teenage Mode in Settings offers extra protections for younger users.","",""
"terms.s2.title","2. Cosmetic guidance only — not medical advice","",""
"terms.s2.p1","Face scans, scores, routines, coach messages and product or ingredient suggestions are for general cosmetic and wellness purposes only. They are not a medical diagnosis, treatment or professional advice.","",""
"terms.s2.p2","AI analysis can be wrong. Always patch-test new products, and see a dermatologist or doctor about any skin, hair or health concern, reaction or allergy.","",""
"terms.s3.title","3. Your account","",""
"terms.s3.p1","Give accurate information when you sign up and keep your password private. You are responsible for activity on your account.","",""
"terms.s3.p2","You can delete your account at any time from Settings → Privacy Settings. Deleting it removes your profile, scans and other saved data.","",""
"terms.s4.title","4. Photos and AI processing","",""
"terms.s4.p1","When you take a face scan or use a photo tool, your photo is sent securely to our servers and to our AI provider (OpenAI) to produce the analysis. Scan results are saved to your account so you can track progress.","",""
"terms.s4.p2","Only upload photos of yourself, or of people who have agreed to it. Do not upload images of anyone under 18 other than yourself.","",""
"terms.s5.title","5. Community and content you share","",""
"terms.s5.p1","You keep ownership of the posts, photos and comments you share. You give us permission to store and display them in the app so the features work.","",""
"terms.s5.p2","Do not post anything illegal, hateful, harassing, sexually explicit, or that infringes someone else's rights. We may remove content or suspend accounts that break these rules.","",""
"terms.s6.title","6. Points and rewards","",""
"terms.s6.p1","Points, streaks, levels and referral rewards have no cash value and cannot be sold or transferred. We may adjust or remove points earned through misuse, such as fake referrals.","",""
"terms.s7.title","7. Acceptable use","",""
"terms.s7.p1","Do not misuse the app — for example by trying to access other people's accounts or data, disrupting the service, or copying or reverse-engineering it.","",""
"terms.s8.title","8. Changes and availability","",""
"terms.s8.p1","We may update the app and these terms. If we make important changes we will let you know in the app; continuing to use it means you accept the updated terms.","",""
"terms.s8.p2","We work to keep the app running but cannot promise it will always be available or error-free.","",""
"terms.s9.title","9. Limitation of liability","",""
"terms.s9.p1","To the extent allowed by law, the app is provided ""as is"", and we are not liable for indirect or consequential losses, or for any reaction to products or routines you choose to use.","",""
"terms.title","Terms of Service","",""
"terms.heading","MyFace AI Terms of Service","",""
"terms.updated","Last updated {{date}}","","Keep {{…}} placeholders unchanged"
"browStyles.fullArch","Full Arch","",""
"browStyles.natural","Natural Arch","",""
"browStyles.feathered","Feathered","",""
"browStyles.bold","Bold & Defined","",""
"browStyles.straight","Straight Soft","",""
"browStyles.high","High Arch","",""
"browStyles.soft","Soft Textured","",""
"tracker.next","Next","",""
"tracker.fullness","Fullness","",""
"tracker.usedToday","Used today","",""
"tracker.notUsedToday","not used today","",""
"tracker.usedTodayA11y","used today","",""
"tracker.tapToLog","Tap to log today","",""
"tracker.daysTotal_one","{{count}} day total","","Keep {{…}} placeholders unchanged"
"tracker.daysTotal_other","{{count}} days total","","Keep {{…}} placeholders unchanged"
"tracker.firstScan","FIRST SCAN","",""
"tracker.latest","LATEST","",""
"tracker.latestScan","LATEST SCAN","",""
"tracker.scanLog","Scan Log","",""
"tracker.scans_one","{{count}} scan","","Keep {{…}} placeholders unchanged"
"tracker.scans_other","{{count}} scans","","Keep {{…}} placeholders unchanged"
"tracker.startLog","Take a face scan to start your log.","",""
"tracker.aiBadge","AI","",""
"tracker.coachAnalysis","Coach Analysis","",""
"tracker.updated","UPDATED {{time}}","","Keep {{…}} placeholders unchanged"
"tracker.noScansYet","NO SCANS YET","",""
"tracker.weeklyPhotoA11y","Take this week's photo","",""
"tracker.weeklyPhoto","Take This Week's Photo","",""
"eyebrow.title","Eyebrow Tracker","",""
"eyebrow.goal","GOAL","",""
"eyebrow.editGoalA11y","Edit goal","",""
"eyebrow.editGoal","Edit Goal ✎","",""
"eyebrow.timeline","GROWTH TIMELINE","",""
"eyebrow.productRoutine","Product Routine","",""
"eyebrow.coachFirst","Take your first face scan and I will start tracking your brow fullness week by week.","",""
"eyebrow.coachBaseline","Your baseline fullness is {{score}}%. Scan again next week so we can measure your progress.","","Keep {{…}} placeholders unchanged"
"eyebrow.coachUp","Great work! Your fullness score went up {{change}}% since your last scan. Stay consistent with your nighttime serum.","","Keep {{…}} placeholders unchanged"
"eyebrow.coachDown","Your fullness dipped {{change}}% since your last scan. Avoid over-plucking and keep up your serum routine.","","Keep {{…}} placeholders unchanged"
"eyebrow.coachSteady","Your fullness is holding steady. Consistency is key — keep logging your serum every night.","",""
"eyelash.title","Eyelash Tracker","",""
"eyelash.noScan","Take a face scan to measure your lash length and density.","",""
"eyelash.lengthScore","Length Score","",""
"eyelash.densityScore","Density Score","",""
"eyelash.removalTitle","Safe Removal Notice","",""
"eyelash.removalText","Never pull or pluck extensions at home. Use a steam-oil method or visit a professional to prevent natural follicle damage.","",""
"eyelash.aftercare","Lash Extension Aftercare","",""
"eyelash.weeklyProgress","Weekly Progress","",""
"eyelash.viewHistoryA11y","View history","",""
"eyelash.viewHistory","View History","",""
"eyelash.addScanA11y","Add week 3 photo","",""
"eyelash.newScan","NEW SCAN","",""
"eyelash.takePhotoA11y","Take photo","",""
"eyelash.takePhoto","Take Photo","",""
"eyelash.tryStylesA11y","Try lash styles","",""
"eyelash.tryStyles","Try Lash Styles","",""
"undereye.minimal","MINIMAL","",""
"undereye.mild","MILD","",""
"undereye.moderate","MODERATE","",""
"undereye.visible","VISIBLE","",""
"undereye.mins5","5 MINS","",""
"undereye.mins3","3 MINS","",""
"undereye.daily","DAILY","",""
"undereye.pmOnly","PM ONLY","",""
"undereye.doneToday","DONE TODAY","",""
"undereye.title","Undereye Tracker","",""
"undereye.score","UNDEREYE SCORE","",""
"undereye.darkCircles","{{level}} DARK CIRCLES","","Keep {{…}} placeholders unchanged"
"undereye.scanToMeasure","SCAN TO MEASURE","",""
"undereye.weeklyProgress","Weekly Progress","",""
"undereye.startTracking","Take a face scan to start tracking.","",""
"undereye.latest","LATEST","",""
"undereye.depuffing","Depuffing Routine","",""
"undereye.lubricating","Lubricating Formula","",""
"undereye.strainTitle","Screen Time & Eye Strain","",""
"undereye.strainText","Long screen sessions worsen dark circles and puffiness. Turn on 20-20-20 reminders to rest your eyes.","",""
"undereye.reminders","20-20-20 Reminders","",""
"undereye.remindersSub","Every 20 mins, look 20ft away","",""
"undereye.guideA11y","Read the eye cream guide","",""
"undereye.guideTitle","The Eye Cream Guide","",""
"undereye.guideDesc","Learn how to correctly apply active ingredients like Retinol and Vitamin C to the delicate eye area without irritation.","",""
"undereye.readGuide","Read Full Guide","",""
"errorBoundary.title","Something went wrong","",""
"errorBoundary.text","This screen couldn't be shown. Tap Try Again, or go back and reopen it.","",""
